date,count,amount
1994-10-07 00:00:00,1,200.0
1994-10-11 00:00:00,3,1200.0
1994-10-13 00:00:00,2,800.0
1994-10-14 00:00:00,2,1230.0
1994-10-15 00:00:00,9,3866.0
1994-10-18 00:00:00,1,200.0
1999-06-09 00:00:00,82,8586.0
1999-08-12 00:00:00,29,2825.0
1999-08-26 00:00:00,56,10860.0
1999-09-29 00:00:00,17,3604.0
1999-12-03 00:00:00,2,139.0
1999-12-30 00:00:00,62,6557.0
2000-01-01 00:00:00,124,46365.17
2000-01-02 00:00:00,10,1938.24
2000-01-03 00:00:00,71,42972.74
2000-01-04 00:00:00,39,11808.89
2000-01-05 00:00:00,349,23960.660000000003
2000-01-06 00:00:00,59,28915.0
2000-01-07 00:00:00,50,28508.95
2000-01-08 00:00:00,15,7050.0
2000-01-09 00:00:00,7,3660.0
2000-01-10 00:00:00,66,49054.0
2000-01-11 00:00:00,121,65671.28
2000-01-12 00:00:00,121,60541.03000000001
2000-01-13 00:00:00,84,57793.5
2000-01-14 00:00:00,91,58387.16
2000-01-15 00:00:00,24,5759.66
2000-01-16 00:00:00,5,6300.0
2000-01-17 00:00:00,59,15521.6
2000-01-18 00:00:00,82,28452.0
2000-01-19 00:00:00,93,38916.380000000005
2000-01-20 00:00:00,432,132435.08000000002
2000-01-21 00:00:00,76,24084.0
2000-01-22 00:00:00,19,7445.0
2000-01-23 00:00:00,16,2850.0
2000-01-24 00:00:00,75,53242.229999999996
2000-01-25 00:00:00,91,59267.0
2000-01-26 00:00:00,89,69395.0
2000-01-27 00:00:00,140,42836.94
2000-01-28 00:00:00,215,72204.22000000002
2000-01-29 00:00:00,14,8275.0
2000-01-30 00:00:00,9,1160.0
2000-01-31 00:00:00,2018,87310.52999999994
2000-02-01 00:00:00,266,103931.69
2000-02-02 00:00:00,94,39120.44
2000-02-03 00:00:00,72,43575.0
2000-02-04 00:00:00,62,33189.64
2000-02-05 00:00:00,32,10595.0
2000-02-06 00:00:00,14,2900.0
2000-02-07 00:00:00,103,57094.82
2000-02-08 00:00:00,67,35941.0
2000-02-09 00:00:00,59,28375.0
2000-02-10 00:00:00,83,60700.0
2000-02-11 00:00:00,701,54072.3
2000-02-12 00:00:00,32,18425.0
2000-02-13 00:00:00,6,900.0
2000-02-14 00:00:00,184,63144.06000000002
2000-02-15 00:00:00,111,255457.97999999998
2000-02-16 00:00:00,144,79800.5
2000-02-17 00:00:00,99,38484.1
2000-02-18 00:00:00,120,62100.83
2000-02-19 00:00:00,22,5945.0
2000-02-20 00:00:00,12,3100.0
2000-02-21 00:00:00,69,32528.24
2000-02-22 00:00:00,104,66659.0
2000-02-23 00:00:00,82,47386.51
2000-02-24 00:00:00,123,57039.79
2000-02-25 00:00:00,389,111902.82
2000-02-26 00:00:00,47,13415.0
2000-02-27 00:00:00,10,3155.0
2000-02-28 00:00:00,174,111262.45999999999
2000-02-29 00:00:00,2240,170541.40999999992
2000-03-01 00:00:00,108,58803.42
2000-03-02 00:00:00,145,108573.81999999999
2000-03-03 00:00:00,158,189335.50000000003
2000-03-04 00:00:00,11,3205.0
2000-03-05 00:00:00,31,5697.56
2000-03-06 00:00:00,263,134234.56
2000-03-07 00:00:00,671,221524.91000000003
2000-03-08 00:00:00,323,221672.27
2000-03-09 00:00:00,434,212691.78999999998
2000-03-10 00:00:00,576,260732.98
2000-03-11 00:00:00,77,33497.43
2000-03-12 00:00:00,43,12725.0
2000-03-13 00:00:00,355,231409.94
2000-03-14 00:00:00,190,91242.03
2000-03-15 00:00:00,270,332122.3699999994
2000-03-16 00:00:00,238,65102.46000000001
2000-03-17 00:00:00,206,84495.86
2000-03-18 00:00:00,23,6070.46
2000-03-19 00:00:00,15,4400.0
2000-03-20 00:00:00,513,164055.1500000001
2000-03-21 00:00:00,75,34405.0
2000-03-22 00:00:00,293,75004.85999999999
2000-03-23 00:00:00,145,115748.69
2000-03-24 00:00:00,377,80998.67000000001
2000-03-25 00:00:00,40,16350.0
2000-03-26 00:00:00,6,657.0
2000-03-27 00:00:00,175,152492.81
2000-03-28 00:00:00,200,58939.79000000001
2000-03-29 00:00:00,191,75638.18000000001
2000-03-30 00:00:00,276,393475.08
2000-03-31 00:00:00,2299,104336.99999999993
2000-04-01 00:00:00,69,24466.120000000003
2000-04-02 00:00:00,24,7460.0
2000-04-03 00:00:00,565,237666.38000000003
2000-04-04 00:00:00,284,223065.29
2000-04-05 00:00:00,264,161754.24
2000-04-06 00:00:00,217,140266.08000000002
2000-04-07 00:00:00,1039,177345.06000000006
2000-04-08 00:00:00,248,15292.5
2000-04-09 00:00:00,19,3690.0
2000-04-10 00:00:00,420,211119.15
2000-04-11 00:00:00,167,112641.61
2000-04-12 00:00:00,246,112365.42000000001
2000-04-13 00:00:00,118,47187.0
2000-04-14 00:00:00,447,209175.92000000004
2000-04-15 00:00:00,357,32115.530000000006
2000-04-16 00:00:00,14,2256.29
2000-04-17 00:00:00,328,327600.26000000007
2000-04-18 00:00:00,257,80201.28000000001
2000-04-19 00:00:00,135,76240.90999999999
2000-04-20 00:00:00,168,119023.33
2000-04-21 00:00:00,140,22856.94999999998
2000-04-22 00:00:00,390,11126.75
2000-04-23 00:00:00,13,2826.0
2000-04-24 00:00:00,307,113394.56
2000-04-25 00:00:00,257,114980.89
2000-04-26 00:00:00,194,60462.72
2000-04-27 00:00:00,239,122304.32
2000-04-28 00:00:00,356,181100.61000000002
2000-04-29 00:00:00,67,120505.41999999997
2000-04-30 00:00:00,2436,88589.51000000011
2000-05-01 00:00:00,771,231812.05000000002
2000-05-02 00:00:00,553,130443.65000000001
2000-05-03 00:00:00,244,113387.94000000003
2000-05-04 00:00:00,189,91067.44
2000-05-05 00:00:00,322,91299.02
2000-05-06 00:00:00,213,8570.2
2000-05-07 00:00:00,231,13789.619999999999
2000-05-08 00:00:00,550,454472.49
2000-05-09 00:00:00,326,158013.62
2000-05-10 00:00:00,384,185733.29000000004
2000-05-11 00:00:00,201,195742.93000000002
2000-05-12 00:00:00,259,128719.92
2000-05-13 00:00:00,41,11015.0
2000-05-14 00:00:00,12,3590.0
2000-05-15 00:00:00,699,463168.98
2000-05-16 00:00:00,345,140432.72999999998
2000-05-17 00:00:00,516,454638.93000000005
